City Parish,Total,25 - 29 anos,30 - 34 anos,35 - 39 anos,40 - 44 anos,45 - 49 anos,50 - 54 anos,55 - 59 anos,60 - 64 anos,65 - 69 anos,70 - 74 anos,75 ou mais anos,sex,year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",43.08,70.99,76.39,76,78.26,80.38,76.99,70.50,50.40,13.91,2.68,0.47,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
União das freguesias de Caparica e Trafaria,42.93,63.71,66.26,68.98,71.51,72.76,68.99,60.60,46.23,14.75,2.19,0.56,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
União das freguesias de Charneca de Caparica e Sobreda,50.58,74.86,80.34,83.27,81.76,82.04,76.86,70.88,49.30,14.62,2.41,0.46,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
União das freguesias de Laranjeiro e Feijó,46.06,69.45,73.41,74.15,75.24,76.33,73.10,66.32,48.85,15.21,2,0.72,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcabideche,47.64,71.17,73.11,74.64,77.76,76.78,73.64,67.63,48.99,16.91,3.04,0.74,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Domingos de Rana,50.96,72.97,78.77,81.01,81.77,80.62,75.37,69.41,48.34,13.47,2.40,0.33,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
União das freguesias de Carcavelos e Parede,46.55,75.30,81.04,78.94,79.40,79.70,76.54,71.18,54.56,17.22,2.94,0.81,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
União das freguesias de Cascais e Estoril,42.03,70.91,73.28,71.79,71.56,72.60,69.11,60.64,49.30,18,4.75,1.09,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajuda,43.35,74.29,76.37,75.17,78.28,77.69,71.56,66.46,50.22,17.24,2.57,0.54,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcântara,48.10,76.34,78.18,77.41,81.40,79.06,77.54,69,54.68,22.17,3.60,1.05,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvalade,48.96,82.72,84.01,84.84,86.09,84.51,80.69,72.21,59.63,23.32,6.40,0.78,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Areeiro,49.62,78.79,80.86,82.53,83.69,80.60,77.76,76.68,60.90,27.29,6.28,1,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arroios,51.20,74.30,77.24,78.37,77.64,77.07,77.34,69.64,58.62,24.28,4.38,1.36,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avenidas Novas,49.19,78.60,82.90,81.57,83.75,80.94,77.44,69.66,61.60,22.50,7.21,1.37,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beato,42.45,68.34,70.40,77.33,72.36,76.37,71.50,63.78,40.63,15.34,2.08,0.63,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belém,46.86,78.68,83.18,81.24,81.43,81.36,80.13,70.52,62.01,24.37,5.08,1.48,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benfica,44.17,78.85,82.38,81.03,80.98,79.28,76.66,69.85,54.29,18.15,3.58,0.99,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campo de Ourique,47.37,78.69,78.55,76.76,78.87,82.66,74.58,73.31,55.34,19.63,4.16,0.92,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campolide,46.75,74.55,78.66,81.08,76.66,78.64,77.78,67.52,54.51,22.15,2.76,0.91,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnide,47.06,71.21,77.24,79.32,79.71,79.44,77.56,71.03,55.85,19.14,4.12,0.40,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estrela,49.54,78.46,77.81,79.32,79.28,76.70,73.65,70.82,56.62,25.80,6.62,1.21,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lumiar,52.72,76.99,80.50,84.22,84.13,83.42,80.64,75.07,60.95,23.95,5.62,1.44,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvila,41.12,63.87,70.53,70.15,70.22,68.57,68.76,60.81,43.83,13.15,2.30,0.48,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misericórdia,46.37,74.84,75.85,71.18,72.62,76.36,70.89,65.93,55.13,23.86,5.80,1.41,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivais,43.56,74.84,77.94,79.46,78.96,77.29,75.77,68.37,53.07,14.64,2.98,0.55,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parque das Nações,53.17,69.32,73.62,77.94,78.23,83.32,79.17,68.71,51.75,21.99,4.97,1.20,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penha de França,47.23,73.11,74.84,75.70,78.73,76.83,74.39,71.03,51.95,16.30,3.03,0.53,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,45.70,59.14,65.07,69.65,74.44,72.60,66.42,61.89,47.23,17.83,3.75,0.44,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Maria Maior,41.85,64.34,64.01,63.06,74.07,69.66,63.86,60.36,48.21,19.67,2.43,0.66,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santo António,50.29,74.47,83.41,82.10,81.31,79.37,74.73,66.22,53.78,25.40,8.15,1.94,M,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
